Moscow Maps 2.0
00
Lian/obstacleposition=0.8	sumtime	2.856191	16.504177	0.139012	1.880128	45.897254	14.997057	3.031216	6.586475	4.781352	0.91207	9.7584932
03
		4768867	4768868	4768869	4768870	4768871	4768872	4768873	4768874	4768875	4768876
Lian/obstacleposition=0.2	numberofsteps	137064	2812	TL	84610	146140	111	42864	TL	4577	124345	77487.42857
Lian/obstacleposition=0.2	memory	155267	5481	TL	107298	152453	112	45925	TL	9664	121548	85376.57143
Lian/obstacleposition=0.2	pathlength	471.08527	477.49875	TL	496.77603	441.68307	PNF	460.93039	TL	424.53452	442.17706	459.2407271
Lian/obstacleposition=0.2	max_angle	11.42116547	5.71057272	TL	16.69924736	23.96249008	0	22.40983391	TL	11.30993366	23.96249008	16.49653333
Lian/obstacleposition=0.2	dliantime	2.445173	0.063004	TL	4.258303	8.522599	0.001	0.435036	TL	0.106007	5.017362	2.978212
Lian/obstacleposition=0.2	sumtime	3.189221	0.015	TL	1.791138	4.268308	0	0.290026	TL	0.027002	2.021137	1.657404571
Lian/obstacleposition=0.4	numberofsteps	261450	2320	30728	351805	181393	111	59566	TL	2560	441791	166451.625
Lian/obstacleposition=0.4	memory	307843	5458	50716	403963	233205	112	77486	TL	7094	499651	198177
Lian/obstacleposition=0.4	pathlength	526.22418	477.49872	521.54675	551.14557	442.77173	PNF	462.34143	TL	424.04742	537.87659	492.9315488
Lian/obstacleposition=0.4	max_angle	24.8515892	5.71057272	24.8515892	24.8515892	23.96249008	0	24.4866848	TL	5.71057272	24.8515892	19.90958464
Lian/obstacleposition=0.4	dliantime	5.192373	0.059998	0.388034	14.364014	10.963777	0.001006	0.673048	TL	0.090012	14.922062	5.83166475
Lian/obstacleposition=0.4	sumtime	5.418384	0.018996	0.165019	15.274088	5.871409	0	0.369033	TL	0.024001	15.09107	5.279
Lian/obstacleposition=0.6	numberofsteps	255438	2497	21515	359541	173376	111	TL	TL	2060	438408	178976.4286
Lian/obstacleposition=0.6	memory	305640	6544	36832	411477	238389	112	TL	TL	6217	500737	215119.4286
Lian/obstacleposition=0.6	pathlength	526.22418	477.59845	520.89917	551.14557	444.24216	PNF	TL	TL	424.04736	537.87659	497.4333543
Lian/obstacleposition=0.6	max_angle	24.8515892	5.71057272	24.8515892	24.8515892	23.96249008	0	TL	TL	5.71057272	24.8515892	19.25571319
Lian/obstacleposition=0.6	dliantime	5.219372	0.054004	0.284025	14.638043	11.812837	0	TL	TL	0.077006	14.818051	6.700476857
Lian/obstacleposition=0.6	sumtime	5.621404	0.027002	0.175017	15.999139	5.913408	0	TL	TL	0.030013	15.163081	6.132723429
Lian/obstacleposition=0.8	numberofsteps	54549	5424	27503	266755	269861	111	TL	TL	1831	268788	127815.8571
Lian/obstacleposition=0.8	memory	70923	11774	46311	315422	376580	112	TL	TL	5699	308602	162187.2857
Lian/obstacleposition=0.8	pathlength	471.86429	478.09708	521.33868	524.95618	448.29645	PNF	TL	TL	424.0473	492.28912	480.1270143
Lian/obstacleposition=0.8	max_angle	23.3440094	5.71057272	24.8515892	24.8515892	23.96249008	0	TL	TL	5.71057272	24.8515892	19.04034465
Lian/obstacleposition=0.8	dliantime	0.516037	0.078001	0.305027	10.564754	25.776822	0	TL	TL	0.048004	8.505603	6.542035429
Lian/obstacleposition=0.8	sumtime	0.907059	0.062003	0.261024	11.567825	25.991841	0	TL	TL	0.028002	8.713618	6.790196
04
		4769067	4769068	4769069	4769070	4769071	4769072	4769073	4769074	4769075	4769076
Lian/obstacleposition=0.2	numberofsteps	101819	TL	208972	2078	TL	TL	708260	6931	TL	TL	205612
Lian/obstacleposition=0.2	memory	108022	TL	189330	4384	TL	TL	609806	10990	TL	TL	184506.4
Lian/obstacleposition=0.2	pathlength	537.3078	TL	498.89581	453.40298	TL	TL	590.90845	437.16699	TL	TL	503.536406
Lian/obstacleposition=0.2	max_angle	24.8515892	TL	23.96249008	24.4866848	TL	TL	24.8515892	22.40983391	TL	TL	24.11243744
Lian/obstacleposition=0.2	dliantime	0.974074	TL	6.225447	0.028008	TL	TL	25.579815	0.046003	TL	TL	6.5706694
Lian/obstacleposition=0.2	sumtime	0.729043	TL	3.690262	0.008	TL	TL	14.619048	0.031002	TL	TL	3.815471
Lian/obstacleposition=0.4	numberofsteps	TL	741338	136414	13347	173750	90060	529653	1354	64127	TL	218755.375
Lian/obstacleposition=0.4	memory	TL	753996	147421	20432	181632	92244	432540	3940	83255	TL	214432.5
Lian/obstacleposition=0.4	pathlength	TL	505.13974	494.20004	455.01779	442.41162	470.75281	575.51788	429.20111	440.57504	TL	476.6020038
Lian/obstacleposition=0.4	max_angle	TL	24.4866848	22.40983391	22.40983391	23.96249008	19.44004059	24.8515892	22.24902534	18.25189018	TL	22.2576735
Lian/obstacleposition=0.4	dliantime	TL	24.866763	5.614398	0.113008	6.094437	1.098072	19.707392	0.022002	2.020138	TL	7.44202625
Lian/obstacleposition=0.4	sumtime	TL	17.969274	3.835272	0.092996	3.505254	0.776054	13.46896	0.007	0.922071	TL	5.072110125
Lian/obstacleposition=0.6	numberofsteps	TL	488015	TL	36676	TL	81975	TL	1569	59173	TL	133481.6
Lian/obstacleposition=0.6	memory	TL	558606	TL	51408	TL	97028	TL	4373	84915	TL	159266
Lian/obstacleposition=0.6	pathlength	TL	496.88474	TL	456.13956	TL	470.75281	TL	429.20111	440.47675	TL	458.690994
Lian/obstacleposition=0.6	max_angle	TL	24.8515892	TL	24.4866848	TL	19.44004059	TL	22.24902534	12.65255928	TL	20.73597984
Lian/obstacleposition=0.6	dliantime	TL	14.251017	TL	0.444031	TL	1.006077	TL	0.024002	1.290085	TL	3.4030424
Lian/obstacleposition=0.6	sumtime	TL	19.521391	TL	0.430038	TL	0.97907	TL	0.009995	1.243088	TL	4.4367164
Lian/obstacleposition=0.8	numberofsteps	44097	TL	135535	43786	TL	72734	TL	1746	59574	TL	59578.66667
Lian/obstacleposition=0.8	memory	64056	TL	180640	60246	TL	97057	TL	4641	90687	TL	82887.83333
Lian/obstacleposition=0.8	pathlength	532.36737	TL	496.77585	456.13956	TL	470.75281	TL	429.20105	440.47675	TL	470.9522317
Lian/obstacleposition=0.8	max_angle	24.8515892	TL	24.8515892	24.4866848	TL	19.44004059	TL	22.24902534	12.65255928	TL	21.42191474
Lian/obstacleposition=0.8	dliantime	0.430029	TL	3.938285	0.563047	TL	0.887063	TL	0.024008	1.467103	TL	1.218255833
Lian/obstacleposition=0.8	sumtime	0.569042	TL	4.449311	0.572035	TL	1.01906	TL	0.013001	1.46311	TL	1.347593167
05
		4769267	4769268	4769269	4769270	4769271	4769272	4769273	4769274	4769275	4769276
Lian/obstacleposition=0.2	numberofsteps	10997	27279	500245	TL	TL	151592	109542	5294	94862	226554	140795.625
Lian/obstacleposition=0.2	memory	20507	40210	429334	TL	TL	207394	126152	8310	110426	212713	144380.75
Lian/obstacleposition=0.2	pathlength	489.38657	441.66272	504.55295	TL	TL	465.59866	441.74451	433.59149	463.97192	491.85931	466.5460163
Lian/obstacleposition=0.2	max_angle	22.40983391	22.61986542	34.76519775	TL	TL	22.61986542	16.69924736	11.30993366	23.96249008	24.8515892	22.40475285
Lian/obstacleposition=0.2	dliantime	0.20102	0.52003	24.301723	TL	TL	3.779266	3.885269	0.050003	2.284161	4.626334	4.95597575
Lian/obstacleposition=0.2	sumtime	0.094012	0.225017	21.78654	TL	TL	1.389102	2.469182	0.045002	1.148088	4.063287	3.90252875
Lian/obstacleposition=0.4	numberofsteps	18057	41210	TL	TL	TL	TL	116622	5524	TL	TL	45353.25
Lian/obstacleposition=0.4	memory	29445	62289	TL	TL	TL	TL	145645	9949	TL	TL	61832
